"name","birth","death","won_award","country","age","field","profession"
"Paul Gustav Heinrich Bachmann",1830,"1920",0,"COL",90,"Algebra","Teacher"
"Henri Brocard",1840,"1922",1,"FRA",82,"Geometry","Physicist"
"Heiner Zieschang",1930,"2004",1,"BEL",74,"Topology","Teacher"
"Joseph Liouville",1800,"1882",1,"FRA",82,"Analysis","Engineer"
"Johann Benedict Listing",1800,"1882",0,"DEU",82,"Topology","Physicist"
"Nicolas Léonard Sadi Carnot",1790,"1832",0,"CAN",42,"Physics","Engineer"
"Lorenzo Mascheroni",1750,"1800",0,"ITA",50,"Geometry","Writer"
"Arnold S. Shapiro",1920,"1962",0,"BOL",42,"Topology","Teacher"
"Baha<U+02BE> al-din al-<U+02BF>Amili",1540,"1622",0,"LBN",82,"General","Astronomer"
"Raphael M. Robinson",1910,"1995",0,"USA",85,"Combinatorics","Teacher"
"Stephen Cole Kleene",1900,"1994",1,"GBR",94,"Computer Science","Philosopher"
"Leonard Eugene Dickson",1870,"1954",1,"PNG",84,"None","Teacher"
"Hanna Neumann",1910,"1971",0,"COL",61,"Algebra","Teacher"
"Richard Lashof",1920,"2010",0,"BRA",90,"Topology","Teacher"
"James Clerk Maxwell",1830,"1879",1,"GBR",49,"Physics","Engineer"
"Ruan Yuan",1760,"1849",0,"CHN",89,"Applied Mathematics","Philosopher"
"Jerzy Neyman",1890,"1981",1,"IDN",91,"Analysis","Statician"
"Camille Jordan",1830,"1922",1,"ATG",92,"Algebra","Teacher"
"Józef Maria Hoene-Wronski",1770,"1853",0,"POL",83,"General","Economist"
"Mary Ellen Rudin",1920,"2013",0,"USA",93,"Topology","Teacher"
"Kiiti Morita",1910,"1995",0,"JPN",85,"None","Teacher"
"Jagdish Chandra Bose",1850,"1937",1,"IND",87,"Physics","Teacher"
"Girard Desargues",1590,"1661",0,"ATG",71,"Geometry","Engineer"
"Horst Schubert",1910,"2001",0,"DEU",91,"Topology","Teacher"
"Joseph Bertrand",1820,"1900",1,"CAN",80,"Probability","Teacher"
"Patrick Suppes",1920,"2014",1,"PAK",94,"Combinatorics","Teacher"
"Ernest Barnes",1870,"1953",1,"GBR",83,"General","Priest"
"Karl F. Sundman",1870,"1949",0,"FIN",79,"General","Teacher"
"André Weil",1900,"1998",1,"CAN",98,"Geometry","Teacher"
"Grigore Moisil",1900,"1973",1,"ROU",73,"Logic","Politician"
"Vito Volterra",1860,"1940",1,"AUS",80,"Analysis","Teacher"
"Shimon Even",1930,"2004",0,"ISR",74,"Combinatorics","Computer Scientist"
"Joseph Wedderburn",1880,"1948",1,"GBR",68,"None","Teacher"
"Johann Euler",1730,"1800",1,"RUS",70,"General","Physicist"
"Ada Lovelace",1810,"1852",0,"BLZ",42,"Computer Science","Writer"
"Pierre Varignon",1650,"1722",1,"ESP",72,"Analysis","Physicist"
"Jakow Trachtenberg",1880,"1953",0,"UKR",73,"General","Engineer"
"Friedrich Bessel",1780,"1846",1,"AUS",66,"General","Teacher"
"Louis Poinsot",1770,"1859",1,"AUS",89,"Physics","Politician"
"Johannes Fallati",1800,"1855",0,"DEU",55,"Statistics","Teacher"
"Agner Krarup Erlang",1870,"1929",0,"AUS",59,"Applied Mathematics","Statician"
"Charles Babbage",1790,"1871",1,"BLZ",81,"General","Engineer"
"Georges de Rham",1900,"1990",1,"CHE",90,"Topology","Teacher"
"Wilhelm Klingenberg",1920,"2010",0,"AUT",90,"Geometry","Writer"
"Nicolas de Malézieu",1650,"1727",0,"CAN",77,"Applied Mathematics","Researcher"
"Anatoli Georgievich Vitushkin",1930,"2004",1,"RUS",74,"Computer Science","Teacher"
"H. F. Baker",1860,"1956",1,"AUS",96,"Analysis","Teacher"
"James Waddell Alexander II",1880,"1971",1,"USA",91,"Topology","Teacher"
"Frank P. Ramsey",1900,"1930",0,"AUS",30,"Combinatorics","Economist"
"Jakob Rosanes",1840,"1922",0,"BLR",82,"Geometry","Teacher"
"E. T. Whittaker",1870,"1956",1,"AUS",86,"General","Historian"
"Emanuel Lasker",1860,"1941",1,"POL",81,"None","Bridge Player"
"Willebrord Snellius",1580,"1626",0,"NLD",46,"General","Physicist"
"Gordon Thomas Whyburn",1900,"1969",1,"USA",69,"Topology","Teacher"
"Zoltán Tibor Balogh",1950,"2002",0,"HUN",52,"Topology","Teacher"
"Gerolamo Cardano",1500,"1576",0,"COL",76,"General","Astronomer"
"William Kingdon Clifford",1840,"1879",1,"AUS",39,"None","Teacher"
"Paul Stäckel",1860,"1919",0,"COL",59,"Geometry","Teacher"
"Émile Lemoine",1840,"1912",1,"FRA",72,"Geometry","Engineer"
"Mstislav Keldysh",1910,"1978",1,"AFG",68,"General","Teacher"
"Lazarus Fuchs",1830,"1902",1,"ITA",72,"Analysis","Teacher"
"Marian Rejewski",1900,"1980",1,"POL",80,"General","Cryptographer"
"Emmy Noether",1880,"1935",1,"DEU",55,"None","Teacher"
"Lucien Le Cam",1920,"2000",0,"FRA",80,"Probability","Teacher"
"George David Birkhoff",1880,"1944",0,"USA",64,"Topology","Teacher"
"Nicholas Metropolis",1910,"1999",1,"BLZ",89,"Physics","Computer Scientist"
"Raoul Bott",1920,"2005",1,"HUN",85,"Geometry","Researcher"
"Eberhard Hopf",1900,"1983",1,"AUT",83,"Topology","Teacher"
"Hans Hahn (mathematician)",1870,"1934",1,"AUT",64,"Combinatorics","Researcher"
"Raoul Bricard",1870,"1943",1,"CAN",73,"Geometry","Linguist"
"Elwin Bruno Christoffel",1820,"1900",0,"DEU",80,"Geometry","Teacher"
"Grégoire de Saint-Vincent",1580,"1667",0,"BEL",87,"Geometry","Teacher"
"Michel Loève",1900,"1979",0,"AUS",79,"Probability","Teacher"
"Jean-Étienne Montucla",1720,"1799",0,"ATG",79,"Applied Mathematics","Historian"
"Carl Benjamin Boyer",1900,"1976",1,"USA",76,"Applied Mathematics","Historian"
"Pierre de Fermat",1600,"1665",0,"FRA",65,"Number Theory","Lawyer"
"John Maynard Smith",1920,"2004",1,"BLZ",84,"Applied Mathematics","Biologist"
"L. E. J. Brouwer",1880,"1966",1,"NLD",86,"Analysis","Researcher"
"Kurt Reidemeister",1890,"1971",0,"AUS",81,"Topology","Teacher"
"Vojtech Jarník",1890,"1970",0,"CZE",80,"Physics","Teacher"
"Wassily Hoeffding",1910,"1991",0,"CAN",81,"Probability","Teacher"
"Giovanni Battista Amici",1780,"1863",1,"ITA",83,"Physics","Researcher"
"George Boole",1810,"1864",1,"ARG",54,"Logic","Researcher"
"Antoine Augustin Cournot",1800,"1877",0,"AUT",77,"Applied Mathematics","Philosopher"
"Richard von Mises",1880,"1953",0,"UKR",73,"Probability","Philosopher"
"Max Mason",1870,"1961",0,"CAN",91,"Analysis","Teacher"
"Kazimierz Bartel",1880,"1941",1,"UKR",61,"General","Politician"
"Alexander Esenin-Volpin",1920,"2016",0,"RUS",96,"Logic","Writer"
"Leonhard Euler",1700,"1783",0,"BEL",83,"Analysis","Musician"
"Abdus Salam",1920,"1996",1,"IND",76,"Physics","Physicist"
"Corrado Gini",1880,"1965",0,"ITA",85,"Applied Mathematics","Psychologist"
"Johann Heinrich Lambert",1720,"1777",0,"FRA",57,"Physics","Physicist"
"André-Marie Ampère",1770,"1836",1,"ATG",66,"Physics","Engineer"
"Petr Vopenka",1930,"2015",1,"CZE",85,"Combinatorics","Teacher"
"Peter Gavin Hall",1950,"2016",1,"AUS",66,"Probability","Teacher"
"Sophie Germain",1770,"1831",1,"CAN",61,"Number Theory","Philosopher"
"Gilles de Roberval",1600,"1675",0,"FRA",75,"General","Teacher"
"Lorenz Leonard Lindelöf",1820,"1908",0,"FIN",88,"Geometry","Teacher"
"Pasquale del Pezzo",1850,"1936",0,"COL",86,"Geometry","Teacher"
"Viggo Brun",1880,"1978",1,"ESP",98,"Number Theory","Teacher"
"Carl Anton Bretschneider",1800,"1878",0,"AUT",78,"Geometry","Lawyer"
"Georg Cantor",1840,"1918",1,"RUS",78,"Combinatorics","Teacher"
"Hermann Weyl",1880,"1955",1,"DEU",75,"Geometry","Philosopher"
"Thomas L. Saaty",1920,"2017",0,"AZE",97,"Applied Mathematics","Writer"
"John Venn",1830,"1923",1,"GBR",93,"Logic","Teacher"
"Conrad Henfling",1640,"1716",0,"DEU",76,"Number Theory","Musician"
"Christiaan Huygens",1620,"1695",0,"NLD",75,"General","Physicist"
"Aleksei Pogorelov",1910,"2002",1,"RUS",92,"Geometry","Teacher"
"Paul Tannery",1840,"1904",0,"FRA",64,"Applied Mathematics","Writer"
"Francis Galton",1820,"1911",1,"GBR",91,"Probability","Anthropologist"
"Herbert Robbins",1910,"2001",1,"CRI",91,"General","Teacher"
"Vladimir Abramovich Rokhlin",1910,"1984",0,"AZE",74,"Geometry","Teacher"
"Andrey Kolmogorov",1900,"1987",1,"RUS",87,"Probability","Statician"
"James H. Wilkinson",1910,"1986",1,"GBR",76,"Algebra","Scientist"
"Paul Ehrenfest",1880,"1933",0,"AUT",53,"Physics","Teacher"
"Thomas Harriot",1560,"1621",0,"BRB",61,"None","Astronomer"
"Karl Pearson",1850,"1936",1,"BLZ",86,"Statistics","Statician"
"Herbert Scarf",1930,"2015",1,"BRA",85,"Applied Mathematics","Teacher"
"William S. Massey",1920,"2017",0,"BLZ",97,"Topology","Teacher"
"Christos Papakyriakopoulos",1910,"1976",1,"GRC",66,"Topology","Teacher"
"Oswald Veblen",1880,"1960",0,"PNG",80,"Geometry","Teacher"
"Sergey Chaplygin",1860,"1942",1,"RUS",82,"Physics","Engineer"
"George Abram Miller",1860,"1951",0,"USA",91,"Algebra","Teacher"
"John Lennard-Jones",1890,"1954",1,"GBR",64,"Physics","Teacher"
"Thorvald N. Thiele",1830,"1910",0,"DNK",80,"General","Lawyer"
"Philippe Flajolet",1940,"2011",1,"ATG",71,"Computer Science","Researcher"
"Giuseppe Peano",1850,"1932",0,"ITA",82,"Applied Mathematics","Teacher"
"Nicholas Mercator",1620,"1687",0,"DEU",67,"General","Musician"
"Andreas Cellarius",1590,"1665",0,"DEU",75,"Physics","Geographer"
"John von Neumann",1900,"1957",1,"HUN",57,"Applied Mathematics","Chemist"
"Theodor von Oppolzer",1840,"1886",0,"CZE",46,"Physics","Teacher"
"Philipp von Jolly",1800,"1884",0,"DEU",84,"Physics","Teacher"
"Johann Friedrich Pfaff",1760,"1825",0,"DEU",65,"Analysis","Teacher"
"Hans Freudenthal",1900,"1990",1,"DEU",90,"Topology","Researcher"
"Ludvig Faddeev",1930,"2017",1,"RUS",87,"Physics","Inventor"
"Émilie du Châtelet",1700,"1749",0,"CAN",49,"General","Linguist"
"James Earl Baumgartner",1940,"2011",0,"USA",71,"Logic","Teacher"
"Valery Senderov",1940,"2014",0,"RUS",74,"Applied Mathematics","Politician"
"Danilo Blanuša",1900,"1987",0,"BIH",87,"General","Teacher"
"Øystein Ore",1890,"1968",1,"DNK",78,"Combinatorics","Teacher"
"Siegfried Gottwald",1940,"2015",1,"AUT",75,"Logic","Teacher"
"Irénée-Jules Bienaymé",1790,"1878",0,"CAN",88,"Statistics","Researcher"
"Oscar Zariski",1890,"1986",1,"BLR",96,"Geometry","Teacher"
"John Cocke",1920,"2002",1,"HTI",82,"Computer Science","Engineer"
"Abraham H. Taub",1910,"1999",1,"BLZ",89,"Geometry","Teacher"
"Bernhard Riemann",1820,"1866",0,"DEU",46,"Geometry","Teacher"
"Evert Willem Beth",1900,"1964",0,"NLD",64,"Logic","Engineer"
"Laurent Schwartz",1910,"2002",1,"CAN",92,"General","Biologist"
"Alfred Russel Wallace",1820,"1913",1,"CAN",93,"Geometry","Researcher"
"Alexander Alexandrovich Chuprov",1870,"1926",0,"RUS",56,"Statistics","Economist"
"G. H. Hardy",1870,"1947",1,"GBR",77,"Analysis","Teacher"
"Paul Cohen",1930,"2007",1,"CAN",77,"Combinatorics","Teacher"
"Gian-Carlo Rota",1930,"1999",0,"ITA",69,"Combinatorics","Teacher"
"Edsger W. Dijkstra",1930,"2002",1,"NLD",72,"Computer Science","Computer Scientist"
"Kazimierz Kuratowski",1890,"1980",0,"JAM",90,"Topology","Researcher"
"Joseph-Louis Lagrange",1730,"1813",1,"BLR",83,"Analysis","Physicist"
"François Viète",1540,"1603",0,"FRA",63,"None","Lawyer"
"Samuel Eilenberg",1910,"1998",1,"JAM",88,"Topology","Teacher"
"Alan Turing",1910,"1954",1,"GBR",44,"Computer Science","Teacher"
"Valentin Turchin",1930,"2010",0,"BLR",80,"Physics","Computer Scientist"
"George Gallup",1900,"1984",0,"USA",84,"Applied Mathematics","Researcher"
"Carl Størmer",1870,"1957",1,"NOR",87,"Number Theory","Astronomer"
"Andreas von Ettingshausen",1790,"1878",0,"AUS",88,"General","Teacher"
"Jacques Charles François Sturm",1800,"1855",1,"CHE",55,"Physics","Teacher"
"Ulisse Dini",1840,"1918",0,"COL",78,"General","Teacher"
"Bartel Leendert van der Waerden",1900,"1996",1,"COL",96,"None","Historian"
"George W. Whitehead",1910,"2004",1,"USA",94,"Topology","Teacher"
"Patrick Billingsley",1920,"2011",0,"USA",91,"Probability","Teacher"
"James Joseph Sylvester",1810,"1897",1,"BLZ",87,"None","Teacher"
"Abraham Gotthelf Kästner",1710,"1800",1,"DEU",90,"General","Historian"
"Mikhail Lavrentyev",1900,"1980",1,"AFG",80,"Analysis","Teacher"
"Bernard Bolzano",1780,"1848",0,"CZE",68,"Analysis","Philosopher"
"Chung Kai-lai",1910,"2009",1,"CHN",99,"Probability","Teacher"
"Taqi ad-Din Muhammad ibn Maruf",1520,"1585",0,"SYR",65,"Physics","Engineer"
"Jacob Bernoulli",1650,"1705",0,"BEL",55,"Probability","Doctor"
"Boris Berezovsky (businessman)",1940,"2013",1,"RUS",73,"General","Politician"
"Nicolai A. Vasiliev",1880,"1940",0,"AFG",60,"Logic","Writer"
"Marquis de Condorcet",1740,"1794",0,"FRA",54,"General","Economist"
"Thomas Bayes",1700,"1761",1,"BLZ",61,"Probability","Priest"
"Florian Cajori",1850,"1930",0,"CHE",80,"Applied Mathematics","Teacher"
"Giovanni Domenico Cassini",1620,"1712",1,"ITA",92,"Physics","Researcher"
"Israel Gelfand",1910,"2009",1,"UKR",99,"Analysis","Teacher"
"Samuel Earnshaw",1800,"1888",0,"AUS",88,"Physics","Teacher"
"Anders Johan Lexell",1740,"1784",0,"FIN",44,"Physics","Physicist"
"Federigo Enriques",1870,"1946",0,"ITA",76,"Geometry","Philosopher"
"George Kingsley Zipf",1900,"1950",1,"BHS",50,"Applied Mathematics","Historian"
"Mary Somerville",1780,"1872",1,"GBR",92,"Applied Mathematics","Writer"
"Maurice René Fréchet",1870,"1973",1,"FRA",103,"Analysis","Statician"
"Karol Borsuk",1900,"1982",0,"JAM",82,"Topology","Teacher"
"Norman Steenrod",1910,"1971",1,"CAN",61,"Topology","Teacher"
"Subrahmanyan Chandrasekhar",1910,"1995",1,"CMR",85,"Physics","Astronomer"
"Thomas Bartholin",1610,"1680",0,"DNK",70,"Applied Mathematics","Doctor"
"Robert Steinberg",1920,"2014",0,"MDA",94,"Algebra","Teacher"
"Hellmuth Kneser",1890,"1973",0,"EST",83,"Algebra","Teacher"
"Georges-Louis Leclerc, Comte de Buffon",1700,"1788",1,"FRA",88,"Applied Mathematics","Biologist"
"Meyer Bockstein",1910,"1990",0,"RUS",80,"Topology","Teacher"
"Arthur Cayley",1820,"1895",1,"CAN",75,"Combinatorics","Teacher"
"Otto E. Neugebauer",1890,"1990",1,"AUT",100,"General","Historian"
"Georg Alexander Pick",1850,"1942",0,"AUT",92,"General","Teacher"
"William Oughtred",1570,"1660",0,"AUS",90,"General","Priest"
"Johannes de Groot",1910,"1972",0,"DEU",62,"Topology","Teacher"
"Hugh Everett III",1930,"1982",0,"ARG",52,"None","Physicist"
"John Playfair",1740,"1819",1,"AUS",79,"General","Physicist"
"Richard Crandall",1940,"2012",0,"USA",72,"Number Theory","Physicist"
"Johannes Kepler",1570,"1630",0,"DEU",60,"Physics","Theologist"
"Douglas Hartree",1890,"1958",1,"AUS",68,"Physics","Teacher"
"Luis Santaló",1910,"2001",1,"ESP",91,"Geometry","Writer"
"Rudolf E. Kálmán",1930,"2016",1,"HUN",86,"Computer Science","Teacher"
"Mikhail Postnikov",1920,"2004",1,"RUS",84,"Topology","Teacher"
"Simion Stoilow",1880,"1961",0,"ROU",81,"Analysis","Teacher"
"Johann Friedrich Hennert",1730,"1813",0,"COL",83,"Analysis","Teacher"
"Igor Shafarevich",1920,"2017",1,"UKR",97,"Geometry","Teacher"
"Gaetano Fichera",1920,"1996",1,"ITA",76,"Analysis","Teacher"
"Willard Van Orman Quine",1900,"2000",1,"USA",100,"Computer Science","Philosopher"
"Étienne Laspeyres",1830,"1913",0,"BEL",83,"Statistics","Teacher"
"Adam Olearius",1600,"1671",0,"DEU",71,"Applied Mathematics","Writer"
"Max Newman",1890,"1984",1,"BLZ",94,"General","Computer Scientist"
"Leopold Vietoris",1890,"2002",1,"AUT",112,"Topology","Teacher"
"Giambattista Benedetti",1530,"1590",0,"CAN",60,"Physics","Architect"
"John Napier",1550,"1617",0,"GBR",67,"General","Astronomer"
"George Dantzig",1910,"2005",1,"AUS",95,"General","Statician"
"Shimshon Amitsur",1920,"1994",1,"BOL",74,"None","Teacher"
"Nathaniel Bliss",1700,"1764",1,"GBR",64,"Physics","Teacher"
"Paul Sophus Epstein",1880,"1966",0,"JAM",86,"Physics","Teacher"
"Sofia Kovalevskaya",1850,"1891",1,"RUS",41,"General","Scientist"
"Robert Lee Moore",1880,"1974",0,"CAN",94,"Topology","Teacher"
"Robert Recorde",1510,"1558",0,"GBR",48,"Physics","Physicist"
"Harald Cramér",1890,"1985",1,"SWE",95,"Probability","Teacher"
"Gaspard-Gustave Coriolis",1790,"1843",0,"CAN",53,"General","Engineer"
"Jean Leray",1900,"1998",1,"BRA",98,"Analysis","Teacher"
"Norbert Wiener",1890,"1964",1,"BOL",74,"General","Writer"
"Jean Paul de Gua de Malves",1710,"1786",1,"FRA",76,"Geometry","Economist"
"Seymour Papert",1920,"2016",1,"ECU",96,"Applied Mathematics","Teacher"
"Leon Henkin",1920,"2006",1,"AUS",86,"General","Teacher"
"Louis-Benjamin Francœur",1770,"1849",1,"CAN",79,"General","Botanist"
"Henri Poincaré",1850,"1912",1,"BOL",62,"Geometry","Astronomer"
"Daniel Bernoulli",1700,"1782",1,"NLD",82,"Analysis","Teacher"
"Alonzo Church",1900,"1995",0,"ARG",95,"Logic","Teacher"
"Friedrich Engel (mathematician)",1860,"1941",0,"CZE",81,"General","Teacher"
"Gustav Elfving",1900,"1984",0,"FIN",84,"Probability","Statician"
"Isabella Bashmakova",1920,"2005",0,"RUS",85,"None","Teacher"
"John Wallis",1610,"1703",0,"AUS",93,"General","Philosopher"
"Oliver Heaviside",1850,"1925",1,"BLZ",75,"Physics","Engineer"
"Albert W. Tucker",1900,"1995",1,"PER",95,"Topology","Teacher"
"Louis Couturat",1860,"1914",0,"FRA",54,"Applied Mathematics","Linguist"
"Joseph Fourier",1760,"1830",1,"FRA",70,"Analysis","Historian"
"Naum Z. Shor",1930,"2006",1,"RUS",76,"Analysis","Teacher"
"Bruno de Finetti",1900,"1985",0,"AUT",85,"Probability","Economist"
"Aryeh Dvoretzky",1910,"2008",1,"RUS",98,"Probability","Teacher"
"Gheorghe Vrânceanu",1900,"1979",0,"BIH",79,"Geometry","Teacher"
"Abraham Wald",1900,"1950",0,"ROU",50,"Applied Mathematics","Scientist"
"William Rowan Hamilton",1800,"1865",1,"AUS",65,"General","Astronomer"
"Paul Halmos",1910,"2006",1,"HUN",96,"None","Statician"
"Adolphe Quetelet",1790,"1874",0,"BEL",84,"General","Scientist"
"Heinrich Wilhelm Brandes",1770,"1834",0,"DEU",64,"Physics","Physicist"
"Yehoshua Bar-Hillel",1910,"1975",0,"AUT",65,"Logic","Teacher"
"Claude Shannon",1910,"2001",1,"USA",91,"Probability","Engineer"
"Étienne-Louis Malus",1770,"1812",1,"CAN",42,"Physics","Engineer"
"Isaac Barrow",1630,"1677",0,"BLZ",47,"Physics","Physicist"
"Ludwig Boltzmann",1840,"1906",1,"AUT",66,"Physics","Researcher"
"Charles Dupin",1780,"1873",1,"FRA",93,"Geometry","Engineer"
"Henry P. H. Bromwell",1820,"1903",0,"COL",83,"Geometry","Lawyer"
"Eric Temple Bell",1880,"1960",0,"GBR",80,"Combinatorics","Writer"
"Marcel-Paul Schützenberger",1920,"1996",0,"CAN",76,"Combinatorics","Teacher"
"Charles Sanders Peirce",1830,"1914",0,"AUS",84,"Algebra","Philosopher"
"Gottfried Wilhelm Leibniz",1640,"1716",1,"DEU",76,"Analysis","Philosopher"
"Josiah Willard Gibbs",1830,"1903",1,"BLZ",73,"Analysis","Teacher"
"Eugene Wigner",1900,"1995",1,"HUN",95,"Physics","Physicist"
"Ernst Leonard Lindelöf",1870,"1946",0,"FIN",76,"Topology","Writer"
"Alexis Clairaut",1710,"1765",1,"CAN",55,"General","Physicist"
"Raymond Louis Wilder",1890,"1982",1,"AUS",92,"Topology","Teacher"
"Friedrich Robert Helmert",1840,"1917",0,"AUT",77,"Physics","Teacher"
"José Celestino Mutis",1730,"1808",0,"COL",78,"Applied Mathematics","Botanist"
"Nathaniel Bowditch",1770,"1838",0,"DEU",68,"General","Physicist"
"Jean-Victor Poncelet",1780,"1867",1,"AUS",87,"General","Teacher"
"Paul Dirac",1900,"1984",1,"CAN",84,"Physics","Physicist"
"Hermann Grassmann",1800,"1877",0,"POL",77,"None","Teacher"
"Ronald Ross",1850,"1932",1,"ESP",82,"Applied Mathematics","Writer"
"Leonid Kantorovich",1910,"1986",1,"RUS",76,"Applied Mathematics","Scientist"
"Johannes Acronius Frisius",1520,"1564",0,"NLD",44,"Applied Mathematics","Astronomer"
"Kurt Gödel",1900,"1978",1,"CZE",78,"Combinatorics","Teacher"
"Kazimierz Ajdukiewicz",1890,"1963",0,"UKR",73,"Logic","Teacher"
"Mihailo Petrovic",1860,"1943",0,"BEL",83,"General","Teacher"
"Ernst Kolman",1890,"1979",0,"CZE",89,"General","Researcher"
"Pierre-Simon Laplace",1740,"1827",1,"FRA",87,"Physics","Politician"
"Carl Friedrich Gauss",1770,"1855",1,"AUS",85,"Number Theory","Writer"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Combinatorics","Researcher"
"William Wallace (mathematician)",1760,"1843",0,"AUS",83,"Geometry","Astronomer"
"Carl Adam Petri",1920,"2010",1,"DEU",90,"General","Teacher"
"Herman Wold",1900,"1992",0,"NOR",92,"Probability","Teacher"
"Max Dehn",1870,"1952",0,"DEU",82,"Algebra","Teacher"
"Benoit Mandelbrot",1920,"2010",1,"JAM",90,"Physics","Scientist"
"Gaspard Monge",1740,"1818",1,"FRA",78,"Geometry","Teacher"
"Siméon Denis Poisson",1780,"1840",1,"FRA",60,"Analysis","Teacher"
"Adolph P. Yushkevich",1900,"1993",1,"UKR",93,"Applied Mathematics","Teacher"
"Herbert A. Simon",1910,"2001",1,"USA",91,"Applied Mathematics","Psychologist"
"Duncan Sommerville",1870,"1934",1,"IND",64,"Geometry","Historian"
"Augustin-Louis Cauchy",1770,"1857",1,"CAN",87,"Analysis","Teacher"
"Alfred Korzybski",1870,"1950",0,"JAM",80,"Applied Mathematics","Philosopher"
"Leonard Jimmie Savage",1910,"1971",1,"USA",61,"General","Economist"
"Vasili Yakovlevich Zinger",1830,"1907",0,"RUS",77,"General","Teacher"
"Samuel Karlin",1920,"2007",1,"USA",87,"Applied Mathematics","Teacher"
"Jean le Rond dAlembert",1710,"1783",1,"CAN",73,"General","Musician"
"Blaise Pascal",1620,"1662",0,"FRA",42,"Probability","Physicist"
"Jurij Vega",1750,"1802",0,"SVN",52,"Computer Science","Physicist"
"Vladimir Arnold",1930,"2010",1,"UKR",80,"Analysis","Scientist"
"Galileo Galilei",1560,"1642",0,"COL",82,"Physics","Physicist"
"François Arago",1780,"1853",1,"FRA",73,"Physics","Politician"
"Henry Thomas Colebrooke",1760,"1837",1,"BLZ",77,"Applied Mathematics","Researcher"
"James Hopwood Jeans",1870,"1946",1,"GBR",76,"Physics","Writer"
"Satyendra Nath Bose",1890,"1974",1,"IND",84,"Physics","Teacher"
"Willem de Sitter",1870,"1934",1,"NLD",64,"Physics","Teacher"
"Ismaël Bullialdus",1600,"1694",1,"CHN",94,"Physics","Priest"
"François Thureau-Dangin",1870,"1944",0,"CAN",74,"Applied Mathematics","Historian"
"Gabriel Lamé",1790,"1870",1,"FRA",80,"General","Teacher"
"Joseph Liouville",1800,"1882",1,"FRA",82,"Analysis","Teacher"
"Johann Benedict Listing",1800,"1882",0,"DEU",82,"Topology","Teacher"
"Nicolas Léonard Sadi Carnot",1790,"1832",0,"CAN",42,"Physics","Scientist"
"Baha<U+02BE> al-din al-<U+02BF>Amili",1540,"1622",0,"LBN",82,"General","Writer"
"Stephen Cole Kleene",1900,"1994",1,"GBR",94,"Computer Science","Teacher"
"James Clerk Maxwell",1830,"1879",1,"GBR",49,"Physics","Inventor"
"Ruan Yuan",1760,"1849",0,"CHN",89,"Applied Mathematics","Politician"
"Jagdish Chandra Bose",1850,"1937",1,"IND",87,"Physics","Physicist"
"Patrick Suppes",1920,"2014",1,"PAK",94,"Combinatorics","Computer Scientist"
"Shimon Even",1930,"2004",0,"ISR",74,"Combinatorics","Engineer"
"Ada Lovelace",1810,"1852",0,"BLZ",42,"Computer Science","Computer Scientist"
"Pierre Varignon",1650,"1722",1,"ESP",72,"Analysis","Teacher"
"Louis Poinsot",1770,"1859",1,"AUS",89,"Physics","Teacher"
"Charles Babbage",1790,"1871",1,"BLZ",81,"General","Economist"
"E. T. Whittaker",1870,"1956",1,"AUS",86,"General","Teacher"
"Willebrord Snellius",1580,"1626",0,"NLD",46,"General","Teacher"
"Gerolamo Cardano",1500,"1576",0,"COL",76,"General","Inventor"
"Émile Lemoine",1840,"1912",1,"FRA",72,"Geometry","Teacher"
"Marian Rejewski",1900,"1980",1,"POL",80,"General","Inventor"
"Raoul Bott",1920,"2005",1,"HUN",85,"Geometry","Teacher"
"Hans Hahn (mathematician)",1870,"1934",1,"AUT",64,"Combinatorics","Teacher"
"Raoul Bricard",1870,"1943",1,"CAN",73,"Geometry","Teacher"
"Carl Benjamin Boyer",1900,"1976",1,"USA",76,"Applied Mathematics","Teacher"
"John Maynard Smith",1920,"2004",1,"BLZ",84,"Applied Mathematics","Biologist"
"L. E. J. Brouwer",1880,"1966",1,"NLD",86,"Analysis","Teacher"
"Giovanni Battista Amici",1780,"1863",1,"ITA",83,"Physics","Physicist"
"Antoine Augustin Cournot",1800,"1877",0,"AUT",77,"Applied Mathematics","Teacher"
"Richard von Mises",1880,"1953",0,"UKR",73,"Probability","Engineer"
"Kazimierz Bartel",1880,"1941",1,"UKR",61,"General","Teacher"
"Leonhard Euler",1700,"1783",0,"BEL",83,"Analysis","Musician"
"Corrado Gini",1880,"1965",0,"ITA",85,"Applied Mathematics","Researcher"
"Johann Heinrich Lambert",1720,"1777",0,"FRA",57,"Physics","Philosopher"
"André-Marie Ampère",1770,"1836",1,"ATG",66,"Physics","Teacher"
"Petr Vopenka",1930,"2015",1,"CZE",85,"Combinatorics","Teacher"
"Peter Gavin Hall",1950,"2016",1,"AUS",66,"Probability","Researcher"
"Gilles de Roberval",1600,"1675",0,"FRA",75,"General","Physicist"
"Hermann Weyl",1880,"1955",1,"DEU",75,"Geometry","Teacher"
"John Venn",1830,"1923",1,"GBR",93,"Logic","Computer Scientist"
"Christiaan Huygens",1620,"1695",0,"NLD",75,"General","Musician"
"Aleksei Pogorelov",1910,"2002",1,"RUS",92,"Geometry","Politician"
"Paul Tannery",1840,"1904",0,"FRA",64,"Applied Mathematics","Historian"
"Francis Galton",1820,"1911",1,"GBR",91,"Probability","Biologist"
